freq (Hz),leafValue( HF_I "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB),freq (Hz),leafValue( GD "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ),freq (Hz),leafValue( NF "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB)
13.01E6,20.25,13.10E6,72.47E-9,18.55E6,38.58
13.10E6,20.25,13.19E6,71.91E-9,18.65E6,38.66
13.19E6,20.25,13.28E6,71.40E-9,18.75E6,38.74
13.28E6,20.25,13.37E6,70.93E-9,18.85E6,38.82
13.37E6,20.25,13.46E6,70.52E-9,18.95E6,38.90
13.46E6,20.25,13.55E6,70.15E-9,19.05E6,38.99
13.55E6,20.25,13.64E6,69.82E-9,19.15E6,39.08
13.64E6,20.25,13.73E6,69.53E-9,19.25E6,39.16
13.73E6,20.25,13.82E6,69.28E-9,19.35E6,39.26
13.82E6,20.25,13.91E6,69.06E-9,19.45E6,39.35
13.91E6,20.25,14.00E6,68.88E-9,19.55E6,39.44
14.00E6,20.25,14.09E6,68.73E-9,19.65E6,39.54
14.09E6,20.25,14.18E6,68.60E-9, , 
14.18E6,20.25,14.27E6,68.51E-9, , 
14.27E6,20.26,14.36E6,68.44E-9, , 
14.36E6,20.26,14.45E6,68.39E-9, , 
14.45E6,20.26,14.54E6,68.37E-9, , 
14.54E6,20.26,14.63E6,68.37E-9, , 
14.63E6,20.26,14.72E6,68.39E-9, , 
14.72E6,20.26,14.81E6,68.44E-9, , 
14.81E6,20.27,14.90E6,68.50E-9, , 
14.90E6,20.27,14.99E6,68.59E-9, , 
14.99E6,20.27,15.08E6,68.69E-9, , 
15.08E6,20.27,15.17E6,68.82E-9, , 
15.17E6,20.27,15.26E6,68.97E-9, , 
15.26E6,20.27,15.35E6,69.14E-9, , 
15.35E6,20.27,15.44E6,69.33E-9, , 
15.44E6,20.27,15.53E6,69.54E-9, , 
15.53E6,20.27,15.62E6,69.78E-9, , 
15.62E6,20.27,15.71E6,70.05E-9, , 
15.71E6,20.27,15.80E6,70.34E-9, , 
15.80E6,20.27,15.89E6,70.66E-9, , 
15.89E6,20.27,15.98E6,71.00E-9, , 
15.98E6,20.27,16.07E6,71.38E-9, , 
16.07E6,20.26,16.16E6,71.79E-9, , 
16.16E6,20.26,16.25E6,72.23E-9, , 
16.25E6,20.26,16.34E6,72.71E-9, , 
16.34E6,20.25,16.43E6,73.22E-9, , 
16.43E6,20.24,16.52E6,73.76E-9, , 
16.52E6,20.24,16.61E6,74.34E-9, , 
16.61E6,20.23,16.70E6,74.96E-9, , 
16.70E6,20.22,16.79E6,75.61E-9, , 
16.79E6,20.20,16.88E6,76.29E-9, , 
16.88E6,20.19,16.97E6,77.00E-9, , 
16.97E6,20.17,17.06E6,77.75E-9, , 
17.06E6,20.16,17.15E6,78.52E-9, , 
17.15E6,20.13,17.24E6,79.32E-9, , 
17.24E6,20.11,17.33E6,80.14E-9, , 
17.33E6,20.08,17.42E6,80.96E-9, , 
17.42E6,20.05,17.51E6,81.80E-9, , 
17.51E6,20.01,17.60E6,82.64E-9, , 
17.60E6,19.97,17.69E6,83.47E-9, , 
17.69E6,19.93,17.78E6,84.28E-9, , 
17.78E6,19.87,17.87E6,85.06E-9, , 
17.87E6,19.82,17.96E6,85.81E-9, , 
17.96E6,19.75,18.05E6,86.50E-9, , 
18.05E6,19.68,18.14E6,87.13E-9, , 
18.14E6,19.60,18.23E6,87.69E-9, , 
18.23E6,19.51,18.32E6,88.16E-9, , 
18.32E6,19.42,18.41E6,88.54E-9, , 
18.41E6,19.31,18.50E6,88.80E-9, , 
18.50E6,19.20,18.59E6,88.95E-9, , 
18.59E6,19.07,18.68E6,88.96E-9, , 
18.68E6,18.94,18.77E6,88.84E-9, , 
18.77E6,18.80,18.86E6,88.59E-9, , 
18.86E6,18.64,18.95E6,88.18E-9, , 
18.95E6,18.48,19.04E6,87.64E-9, , 
19.04E6,18.31,19.13E6,86.95E-9, , 
19.13E6,18.12,19.22E6,86.12E-9, , 
19.22E6,17.93,19.31E6,85.16E-9, , 
19.31E6,17.72,19.40E6,84.07E-9, , 
19.40E6,17.51,19.49E6,82.86E-9, , 
19.49E6,17.29,19.58E6,81.54E-9, , 
19.58E6,17.06,19.67E6,80.13E-9, , 
19.67E6,16.82,19.76E6,78.64E-9, , 
19.76E6,16.58,19.85E6,77.07E-9, , 
19.85E6,16.32,19.94E6,75.44E-9, , 
19.94E6,16.07,20.03E6,73.77E-9, , 
20.03E6,15.80,20.12E6,72.06E-9, , 
20.12E6,15.53,20.21E6,70.33E-9, , 
20.21E6,15.26,20.30E6,68.58E-9, , 
20.30E6,14.98,20.39E6,66.83E-9, , 
20.39E6,14.70,20.48E6,65.08E-9, , 
20.48E6,14.41,20.57E6,63.35E-9, , 
20.57E6,14.12,20.66E6,61.63E-9, , 
20.66E6,13.83,20.75E6,59.94E-9, , 
20.75E6,13.54,20.84E6,58.27E-9, , 
20.84E6,13.25,20.93E6,56.64E-9, , 
20.93E6,12.95,21.02E6,55.05E-9, , 
21.02E6,12.66,21.11E6,53.49E-9, , 
21.11E6,12.36,21.20E6,51.97E-9, , 
21.20E6,12.06,21.29E6,50.50E-9, , 
21.29E6,11.77,21.38E6,49.07E-9, , 
21.38E6,11.47,21.47E6,47.69E-9, , 
21.47E6,11.18,21.56E6,46.34E-9, , 
21.56E6,10.89,21.65E6,45.05E-9, , 
21.65E6,10.59,21.74E6,43.79E-9, , 
21.74E6,10.30,21.83E6,42.58E-9, , 
21.83E6,10.01,21.92E6,41.41E-9, , 
21.92E6,9.725,22.01E6,40.28E-9, , 
22.01E6,9.438,22.10E6,39.19E-9, , 
22.10E6,9.153,22.19E6,38.14E-9, , 
22.19E6,8.870,22.28E6,37.13E-9, , 
22.28E6,8.588,22.37E6,36.15E-9, , 
22.37E6,8.309,22.46E6,35.21E-9, , 
22.46E6,8.031,22.55E6,34.31E-9, , 
22.55E6,7.756,22.64E6,33.44E-9, , 
22.64E6,7.482,22.73E6,32.60E-9, , 
22.73E6,7.211,22.82E6,31.78E-9, , 
22.82E6,6.941,22.91E6,31.00E-9, , 
22.91E6,6.674,23.00E6,30.25E-9, , 
23.00E6,6.409,23.09E6,29.52E-9, , 
23.09E6,6.146,23.18E6,28.82E-9, , 
23.18E6,5.885,23.27E6,28.15E-9, , 
23.27E6,5.626,23.36E6,27.50E-9, , 
23.36E6,5.369,23.45E6,26.87E-9, , 
23.45E6,5.115,23.54E6,26.26E-9, , 
23.54E6,4.862,23.63E6,25.67E-9, , 
23.63E6,4.612,23.72E6,25.11E-9, , 
23.72E6,4.363,23.81E6,24.56E-9, , 
23.81E6,4.117,23.90E6,24.03E-9, , 
23.90E6,3.873,23.99E6,23.52E-9, , 
23.99E6,3.631,24.08E6,23.03E-9, , 
24.08E6,3.391,24.17E6,22.55E-9, , 
24.17E6,3.153,24.26E6,22.09E-9, , 
24.26E6,2.917,24.35E6,21.64E-9, , 
24.35E6,2.683,24.44E6,21.21E-9, , 
24.44E6,2.451,24.53E6,20.79E-9, , 
24.53E6,2.221,24.62E6,20.39E-9, , 
24.62E6,1.993,24.71E6,19.99E-9, , 
24.71E6,1.767,24.80E6,19.61E-9, , 
24.80E6,1.542,24.89E6,19.25E-9, , 
24.89E6,1.320,24.98E6,18.89E-9, , 
24.98E6,1.099,25.07E6,18.54E-9, , 
25.07E6,880.2E-3,25.16E6,18.20E-9, , 
25.16E6,663.0E-3,25.25E6,17.88E-9, , 
25.25E6,447.7E-3,25.34E6,17.56E-9, , 
25.34E6,234.1E-3,25.43E6,17.25E-9, , 
25.43E6,22.21E-3,25.52E6,16.95E-9, , 
25.52E6,-188.0E-3,25.61E6,16.66E-9, , 
25.61E6,-396.5E-3,25.70E6,16.38E-9, , 
25.70E6,-603.3E-3,25.79E6,16.10E-9, , 
25.79E6,-808.5E-3,25.88E6,15.84E-9, , 
25.88E6,-1.012,25.97E6,15.58E-9, , 
25.97E6,-1.214,26.06E6,15.33E-9, , 
26.06E6,-1.414,26.15E6,15.08E-9, , 
26.15E6,-1.613,26.24E6,14.84E-9, , 
26.24E6,-1.811,26.33E6,14.61E-9, , 
26.33E6,-2.006,26.42E6,14.38E-9, , 
26.42E6,-2.201,26.51E6,14.16E-9, , 
26.51E6,-2.394,26.60E6,13.94E-9, , 
26.60E6,-2.585,26.69E6,13.73E-9, , 
26.69E6,-2.775,26.78E6,13.53E-9, , 
26.78E6,-2.964,26.87E6,13.33E-9, , 
26.87E6,-3.151,26.96E6,13.14E-9, , 
26.96E6,-3.336,27.05E6,12.95E-9, , 
27.05E6,-3.521,27.14E6,12.76E-9, , 
27.14E6,-3.704,27.23E6,12.58E-9, , 
27.23E6,-3.886,27.32E6,12.41E-9, , 
27.32E6,-4.066,27.41E6,12.23E-9, , 
27.41E6,-4.245,27.50E6,12.07E-9, , 
27.50E6,-4.423,27.59E6,11.90E-9, , 
27.59E6,-4.599,27.68E6,11.74E-9, , 
27.68E6,-4.775,27.77E6,11.59E-9, , 
27.77E6,-4.949,27.86E6,11.43E-9, , 
27.86E6,-5.122,27.95E6,11.28E-9, , 
27.95E6,-5.293,28.04E6,11.14E-9, , 
28.04E6,-5.464,28.13E6,11.00E-9, , 
28.13E6,-5.633,28.22E6,10.86E-9, , 
28.22E6,-5.801,28.31E6,10.72E-9, , 
28.31E6,-5.968,28.40E6,10.59E-9, , 
28.40E6,-6.134,28.49E6,10.46E-9, , 
28.49E6,-6.299,28.58E6,10.33E-9, , 
28.58E6,-6.462,28.67E6,10.20E-9, , 
28.67E6,-6.625,28.76E6,10.08E-9, , 
28.76E6,-6.786,28.85E6,9.960E-9, , 
28.85E6,-6.947,28.94E6,9.843E-9, , 
28.94E6,-7.106,29.03E6,9.728E-9, , 
29.03E6,-7.265,29.12E6,9.615E-9, , 
29.12E6,-7.422,29.21E6,9.505E-9, , 
29.21E6,-7.578,29.30E6,9.397E-9, , 
29.30E6,-7.734,29.39E6,9.291E-9, , 
29.39E6,-7.888,29.48E6,9.187E-9, , 
29.48E6,-8.041,29.57E6,9.086E-9, , 
29.57E6,-8.194,29.66E6,8.986E-9, , 
29.66E6,-8.345,29.75E6,8.888E-9, , 
29.75E6,-8.495,29.84E6,8.793E-9, , 
29.84E6,-8.645,29.93E6,8.699E-9, , 
29.93E6,-8.794,30.02E6,8.607E-9, , 
30.02E6,-8.941,30.11E6,8.516E-9, , 
30.11E6,-9.088,30.20E6,8.428E-9, , 
30.20E6,-9.234,30.29E6,8.341E-9, , 
30.29E6,-9.379,30.38E6,8.255E-9, , 
30.38E6,-9.523,30.47E6,8.171E-9, , 
30.47E6,-9.666,30.56E6,8.089E-9, , 
30.56E6,-9.809,30.65E6,8.008E-9, , 
30.65E6,-9.950,30.74E6,7.929E-9, , 
30.74E6,-10.09,30.83E6,7.851E-9, , 
30.83E6,-10.23,30.92E6,7.775E-9, , 
30.92E6,-10.37,31.01E6,7.700E-9, , 
31.01E6,-10.51,31.10E6,7.626E-9, , 
31.10E6,-10.65,31.19E6,7.554E-9, , 
31.19E6,-10.78,31.28E6,7.482E-9, , 
31.28E6,-10.92,31.37E6,7.413E-9, , 
31.37E6,-11.05,31.46E6,7.344E-9, , 
31.46E6,-11.19,31.55E6,7.276E-9, , 
31.55E6,-11.32,31.64E6,7.210E-9, , 
31.64E6,-11.45,31.73E6,7.145E-9, , 
31.73E6,-11.59,31.82E6,7.081E-9, , 
31.82E6,-11.72,31.91E6,7.018E-9, , 
31.91E6,-11.85,32.00E6,6.956E-9, , 
32.00E6,-11.98,32.09E6,6.895E-9, , 
32.09E6,-12.11,32.18E6,6.835E-9, , 
32.18E6,-12.24,32.27E6,6.776E-9, , 
32.27E6,-12.36,32.36E6,6.718E-9, , 
32.36E6,-12.49,32.45E6,6.661E-9, , 
32.45E6,-12.62,32.54E6,6.605E-9, , 
32.54E6,-12.74,32.63E6,6.549E-9, , 
32.63E6,-12.87,32.72E6,6.495E-9, , 
32.72E6,-12.99,32.81E6,6.442E-9, , 
32.81E6,-13.12,32.90E6,6.389E-9, , 
32.90E6,-13.24,32.99E6,6.337E-9, , 
32.99E6,-13.36,33.08E6,6.286E-9, , 
33.08E6,-13.48,33.17E6,6.236E-9, , 
33.17E6,-13.60,33.26E6,6.187E-9, , 
33.26E6,-13.73,33.35E6,6.138E-9, , 
33.35E6,-13.85,33.44E6,6.090E-9, , 
33.44E6,-13.96,33.53E6,6.043E-9, , 
33.53E6,-14.08,33.62E6,5.997E-9, , 
33.62E6,-14.20,33.71E6,5.951E-9, , 
33.71E6,-14.32,33.80E6,5.906E-9, , 
33.80E6,-14.44,33.89E6,5.861E-9, , 
33.89E6,-14.55,33.98E6,5.818E-9, , 
33.98E6,-14.67,34.07E6,5.775E-9, , 
34.07E6,-14.78,34.16E6,5.732E-9, , 
34.16E6,-14.90,34.25E6,5.690E-9, , 
34.25E6,-15.01,34.34E6,5.649E-9, , 
34.34E6,-15.12,34.43E6,5.609E-9, , 
34.43E6,-15.24,34.52E6,5.569E-9, , 
34.52E6,-15.35,34.61E6,5.529E-9, , 
34.61E6,-15.46,34.70E6,5.490E-9, , 
34.70E6,-15.57,34.79E6,5.452E-9, , 
34.79E6,-15.68,34.88E6,5.414E-9, , 
34.88E6,-15.79,34.97E6,5.377E-9, , 
34.97E6,-15.90,35.06E6,5.340E-9, , 
35.06E6,-16.01,35.15E6,5.304E-9, , 
35.15E6,-16.12,35.24E6,5.268E-9, , 
35.24E6,-16.23,35.33E6,5.233E-9, , 
35.33E6,-16.34,35.42E6,5.198E-9, , 
35.42E6,-16.44,35.51E6,5.164E-9, , 
35.51E6,-16.55,35.60E6,5.130E-9, , 
