freq (Hz),leafValue( HF_I "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB),freq (Hz),leafValue( GD "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ),freq (Hz),leafValue( NF "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB)
46.85E6,-26.99,46.94E6,2.961E-9, , 
46.94E6,-27.06,47.03E6,2.953E-9, , 
47.03E6,-27.12,47.12E6,2.945E-9, , 
47.12E6,-27.19,47.21E6,2.937E-9, , 
47.21E6,-27.25,47.30E6,2.929E-9, , 
47.30E6,-27.32,47.39E6,2.921E-9, , 
47.39E6,-27.38,47.48E6,2.913E-9, , 
47.48E6,-27.45,47.57E6,2.906E-9, , 
47.57E6,-27.51,47.66E6,2.898E-9, , 
47.66E6,-27.57,47.75E6,2.890E-9, , 
47.75E6,-27.64,47.84E6,2.883E-9, , 
47.84E6,-27.70,47.93E6,2.876E-9, , 
47.93E6,-27.76,48.02E6,2.868E-9, , 
48.02E6,-27.83,48.11E6,2.861E-9, , 
48.11E6,-27.89,48.20E6,2.854E-9, , 
48.20E6,-27.95,48.29E6,2.847E-9, , 
48.29E6,-28.01,48.38E6,2.840E-9, , 
48.38E6,-28.07,48.47E6,2.833E-9, , 
48.47E6,-28.14,48.56E6,2.826E-9, , 
48.56E6,-28.20,48.65E6,2.819E-9, , 
48.65E6,-28.26,48.74E6,2.812E-9, , 
48.74E6,-28.32,48.83E6,2.805E-9, , 
48.83E6,-28.38,48.92E6,2.798E-9, , 
48.92E6,-28.44,49.01E6,2.792E-9, , 
49.01E6,-28.50,49.10E6,2.785E-9, , 
49.10E6,-28.56,49.19E6,2.779E-9, , 
49.19E6,-28.62,49.28E6,2.772E-9, , 
49.28E6,-28.68,49.37E6,2.766E-9, , 
49.37E6,-28.74,49.46E6,2.760E-9, , 
49.46E6,-28.80,49.55E6,2.753E-9, , 
49.55E6,-28.86,49.64E6,2.747E-9, , 
49.64E6,-28.92,49.73E6,2.741E-9, , 
49.73E6,-28.98,49.82E6,2.735E-9, , 
49.82E6,-29.04,49.91E6,2.729E-9, , 
49.91E6,-29.10,50.00E6,2.723E-9, , 
50.00E6,-29.16, , , , 
