Values ,histogram2D(_statGetWaveform( "Fc_TOTAL_GLO" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "Vesta_Filters_40:Test_PPF_GPS_2:2" ?filtPointsList "" ) 10 "standard" "stddev" t),Values ,histogram2D(_statGetWaveform( "Bandwidth_TOTAL_GLO" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "Vesta_Filters_40:Test_PPF_GPS_2:2" ?filtPointsList "" ) 10 "standard" "stddev" t)
14.50E6,5,9.563E6,16
14.51E6,64,9.563E6,68
14.51E6,10,9.564E6,39
14.51E6,34,9.564E6,102
14.51E6,32,9.565E6,94
14.51E6,47,9.566E6,10
14.51E6,51,9.567E6,35
14.51E6,29,9.567E6,93
14.51E6,49,9.568E6,6
14.51E6,77,9.569E6,11
14.51E6,28,9.570E6,86
14.52E6,59,9.572E6,95
14.52E6,7,9.572E6,8
14.52E6,48,9.573E6,63
14.52E6,60,9.573E6,30
14.53E6,15,9.575E6,87
14.53E6,61,9.575E6,89
14.53E6,23,9.576E6,71
14.53E6,80,9.577E6,73
14.53E6,56,9.577E6,66
14.53E6,67,9.581E6,69
14.54E6,35,9.582E6,25
14.54E6,12,9.582E6,53
14.54E6,37,9.583E6,22
14.54E6,79,9.583E6,18
14.54E6,38,9.584E6,91
14.54E6,74,9.584E6,50
14.54E6,53,9.584E6,3
14.54E6,24,9.586E6,74
14.54E6,17,9.587E6,81
14.54E6,14,9.587E6,99
14.54E6,88,9.587E6,46
14.55E6,27,9.587E6,21
14.55E6,39,9.588E6,79
14.55E6,42,9.589E6,34
14.55E6,85,9.589E6,78
14.55E6,40,9.590E6,57
14.55E6,70,9.590E6,44
14.55E6,9,9.592E6,51
14.56E6,6,9.593E6,101
14.56E6,22,9.594E6,65
14.56E6,89,9.596E6,2
14.56E6,48,9.596E6,58
14.56E6,55,9.597E6,31
14.56E6,28,9.598E6,61
14.56E6,56,9.603E6,40
14.57E6,53,9.603E6,17
14.57E6,42,9.603E6,47
14.57E6,44,9.603E6,70
14.57E6,29,9.605E6,64
14.57E6,72,9.606E6,83
14.57E6,6,9.607E6,76
14.57E6,20,9.607E6,4
14.57E6,1,9.608E6,14
14.58E6,31,9.609E6,24
14.58E6,58,9.609E6,28
14.58E6,19,9.610E6,82
14.58E6,26,9.610E6,54
14.58E6,9,9.611E6,27
14.58E6,2,9.612E6,36
14.58E6,22,9.612E6,85
14.58E6,47,9.613E6,90
14.58E6,67,9.613E6,48
14.59E6,69,9.614E6,38
14.59E6,35,9.616E6,20
