freq (Hz),leafValue( HF_I "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB),freq (Hz),leafValue( GD "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ),freq (Hz),leafValue( NF "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB)
12.83E6,19.30,12.92E6,117.1E-9,16.63E6,39.92
12.92E6,19.56,13.01E6,119.3E-9,16.68E6,39.96
13.01E6,19.80,13.10E6,120.9E-9,16.73E6,40.00
13.10E6,20.02,13.19E6,122.0E-9,16.78E6,40.04
13.19E6,20.21,13.28E6,122.4E-9,16.83E6,40.08
13.28E6,20.37,13.37E6,122.3E-9,16.88E6,40.12
13.37E6,20.52,13.46E6,121.7E-9,16.93E6,40.16
13.46E6,20.64,13.55E6,120.5E-9,16.98E6,40.20
13.55E6,20.73,13.64E6,119.0E-9,17.03E6,40.25
13.64E6,20.81,13.73E6,117.2E-9,17.08E6,40.29
13.73E6,20.87,13.82E6,115.2E-9,17.13E6,40.34
13.82E6,20.92,13.91E6,113.1E-9,17.18E6,40.38
13.91E6,20.95,14.00E6,110.9E-9,17.23E6,40.43
14.00E6,20.98,14.09E6,108.8E-9,17.28E6,40.47
14.09E6,20.99,14.18E6,106.7E-9, , 
14.18E6,21.00,14.27E6,104.8E-9, , 
14.27E6,21.00,14.36E6,103.2E-9, , 
14.36E6,21.00,14.45E6,101.7E-9, , 
14.45E6,21.00,14.54E6,100.5E-9, , 
14.54E6,21.00,14.63E6,99.67E-9, , 
14.63E6,21.00,14.72E6,99.10E-9, , 
14.72E6,20.99,14.81E6,98.84E-9, , 
14.81E6,20.99,14.90E6,98.89E-9, , 
14.90E6,20.99,14.99E6,99.25E-9, , 
14.99E6,20.99,15.08E6,99.92E-9, , 
15.08E6,20.99,15.17E6,100.9E-9, , 
15.17E6,20.99,15.26E6,102.1E-9, , 
15.26E6,20.99,15.35E6,103.6E-9, , 
15.35E6,20.98,15.44E6,105.2E-9, , 
15.44E6,20.97,15.53E6,107.1E-9, , 
15.53E6,20.95,15.62E6,109.0E-9, , 
15.62E6,20.93,15.71E6,111.0E-9, , 
15.71E6,20.90,15.80E6,113.0E-9, , 
15.80E6,20.85,15.89E6,114.9E-9, , 
