freq (Hz),leafValue( HF_I "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB),freq (Hz),leafValue( GD "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ),freq (Hz),leafValue( NF "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB)
46.22E6,-23.05,46.31E6,1.406E-9, , 
46.31E6,-23.10,46.40E6,1.404E-9, , 
46.40E6,-23.14,46.49E6,1.401E-9, , 
46.49E6,-23.19,46.58E6,1.398E-9, , 
46.58E6,-23.23,46.67E6,1.395E-9, , 
46.67E6,-23.27,46.76E6,1.392E-9, , 
46.76E6,-23.32,46.85E6,1.389E-9, , 
46.85E6,-23.36,46.94E6,1.387E-9, , 
46.94E6,-23.41,47.03E6,1.384E-9, , 
47.03E6,-23.45,47.12E6,1.381E-9, , 
47.12E6,-23.49,47.21E6,1.379E-9, , 
47.21E6,-23.53,47.30E6,1.376E-9, , 
47.30E6,-23.58,47.39E6,1.373E-9, , 
47.39E6,-23.62,47.48E6,1.371E-9, , 
47.48E6,-23.66,47.57E6,1.368E-9, , 
47.57E6,-23.70,47.66E6,1.366E-9, , 
47.66E6,-23.75,47.75E6,1.363E-9, , 
47.75E6,-23.79,47.84E6,1.361E-9, , 
47.84E6,-23.83,47.93E6,1.358E-9, , 
47.93E6,-23.87,48.02E6,1.356E-9, , 
48.02E6,-23.91,48.11E6,1.353E-9, , 
48.11E6,-23.96,48.20E6,1.351E-9, , 
48.20E6,-24.00,48.29E6,1.349E-9, , 
48.29E6,-24.04,48.38E6,1.346E-9, , 
48.38E6,-24.08,48.47E6,1.344E-9, , 
48.47E6,-24.12,48.56E6,1.342E-9, , 
48.56E6,-24.16,48.65E6,1.340E-9, , 
48.65E6,-24.20,48.74E6,1.337E-9, , 
48.74E6,-24.24,48.83E6,1.335E-9, , 
48.83E6,-24.28,48.92E6,1.333E-9, , 
48.92E6,-24.32,49.01E6,1.331E-9, , 
49.01E6,-24.36,49.10E6,1.329E-9, , 
49.10E6,-24.40,49.19E6,1.326E-9, , 
49.19E6,-24.44,49.28E6,1.324E-9, , 
49.28E6,-24.48,49.37E6,1.322E-9, , 
49.37E6,-24.52,49.46E6,1.320E-9, , 
49.46E6,-24.56,49.55E6,1.318E-9, , 
49.55E6,-24.60,49.64E6,1.316E-9, , 
49.64E6,-24.64,49.73E6,1.314E-9, , 
49.73E6,-24.68,49.82E6,1.312E-9, , 
49.82E6,-24.72,49.91E6,1.310E-9, , 
49.91E6,-24.76,50.00E6,1.308E-9, , 
50.00E6,-24.80, , , , 
