freq (Hz),leafValue( db(spm('sp 2 1)) "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB),leafValue( db(spm('sp 1 1)) "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB),leafValue( Phase_Error "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (deg),leafValue( db10(getData("F" ?result "sp_noise")) "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB),leafValue( Gain_Error "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB)
946.0E6,11.55,-19.26,-2.931,7.479,362.8E-3
957.0E6,11.46,-20.98,-2.973,7.547,356.0E-3
968.0E6,11.35,-22.70,-3.015,7.618,349.2E-3
979.0E6,11.25,-24.03,-3.057,7.694,342.3E-3
990.0E6,11.14,-24.25,-3.100,7.775,335.3E-3
1.001E9,11.02,-23.28,-3.142,7.859,328.2E-3
1.012E9,10.91,-21.68,-3.185,7.948,321.0E-3
1.023E9,10.78,-19.98,-3.228,8.041,313.8E-3
1.034E9,10.66,-18.44,-3.271,8.138,306.5E-3
1.045E9,10.53,-17.08,-3.315,8.239,299.1E-3
1.056E9,10.40,-15.88,-3.358,8.343,291.6E-3
1.067E9,10.26,-14.81,-3.402,8.452,284.1E-3
1.078E9,10.12,-13.86,-3.447,8.563,276.4E-3
1.089E9,9.976,-13.02,-3.491,8.678,268.7E-3
1.100E9,9.830,-12.25,-3.536,8.797,261.0E-3
1.111E9,9.681,-11.56,-3.581,8.918,253.1E-3
1.122E9,9.530,-10.94,-3.626,9.042,245.2E-3
1.133E9,9.376,-10.36,-3.672,9.169,237.2E-3
1.144E9,9.220,-9.824,-3.717,9.299,229.1E-3
1.155E9,9.061,-9.335,-3.763,9.431,221.0E-3
1.166E9,8.899,-8.875,-3.810,9.566,212.7E-3
1.177E9,8.737,-8.457,-3.856,9.703,204.4E-3
1.188E9,8.572,-8.065,-3.903,9.842,196.1E-3
1.199E9,8.405,-7.696,-3.951,9.983,187.6E-3
1.210E9,8.237,-7.351,-3.998,10.13,179.1E-3
1.221E9,8.067,-7.030,-4.046,10.27,170.5E-3
1.232E9,7.896,-6.729,-4.094,10.42,161.9E-3
1.243E9,7.725,-6.448,-4.143,10.56,153.1E-3
1.254E9,7.550,-6.176,-4.191,10.71,144.3E-3
1.265E9,7.377,-5.927,-4.241,10.86,135.5E-3
1.276E9,7.200,-5.685,-4.290,11.02,126.5E-3
1.287E9,7.024,-5.460,-4.340,11.17,117.5E-3
1.298E9,6.847,-5.249,-4.390,11.32,108.4E-3
1.309E9,6.669,-5.045,-4.440,11.48,99.29E-3
1.320E9,6.490,-4.854,-4.491,11.63,90.08E-3
1.331E9,6.311,-4.671,-4.542,11.79,80.80E-3
1.342E9,6.131,-4.498,-4.593,11.94,71.45E-3
1.353E9,5.952,-4.334,-4.645,12.10,62.04E-3
1.364E9,5.772,-4.177,-4.697,12.26,52.56E-3
1.375E9,5.590,-4.027,-4.750,12.42,43.02E-3
1.386E9,5.409,-3.884,-4.802,12.57,33.41E-3
1.397E9,5.227,-3.748,-4.855,12.73,23.74E-3
1.408E9,5.047,-3.619,-4.909,12.89,14.00E-3
1.419E9,4.865,-3.495,-4.963,13.05,4.204E-3
1.430E9,4.683,-3.375,-5.017,13.21,-5.658E-3
1.441E9,4.503,-3.264,-5.071,13.37,-15.58E-3
1.452E9,4.321,-3.154,-5.126,13.53,-25.57E-3
1.463E9,4.139,-3.050,-5.182,13.69,-35.61E-3
1.474E9,3.959,-2.951,-5.237,13.85,-45.72E-3
1.485E9,3.777,-2.856,-5.293,14.01,-55.89E-3
1.496E9,3.596,-2.764,-5.350,14.17,-66.12E-3
1.507E9,3.416,-2.677,-5.406,14.33,-76.41E-3
1.518E9,3.235,-2.592,-5.463,14.49,-86.75E-3
1.529E9,3.054,-2.511,-5.521,14.65,-97.16E-3
1.540E9,2.875,-2.434,-5.579,14.80,-107.6E-3
1.551E9,2.694,-2.358,-5.637,14.96,-118.1E-3
1.562E9,2.514,-2.286,-5.696,15.12,-128.7E-3
1.573E9,2.335,-2.218,-5.755,15.28,-139.4E-3
1.584E9,2.156,-2.151,-5.814,15.44,-150.0E-3
1.595E9,1.976,-2.086,-5.874,15.60,-160.8E-3
1.606E9,1.799,-2.025,-5.934,15.75,-171.6E-3
1.617E9,1.619,-1.965,-5.995,15.91,-182.4E-3
1.628E9,1.441,-1.907,-6.056,16.07,-193.4E-3
1.639E9,1.264,-1.852,-6.117,16.23,-204.3E-3
1.650E9,1.087,-1.799,-6.179,16.38,-215.3E-3
1.661E9,910.4E-3,-1.748,-6.241,16.54,-226.4E-3
1.672E9,735.0E-3,-1.698,-6.303,16.69,-237.5E-3
1.683E9,558.0E-3,-1.650,-6.366,16.85,-248.7E-3
1.694E9,383.0E-3,-1.604,-6.430,17.01,-259.9E-3
1.705E9,206.8E-3,-1.559,-6.493,17.16,-271.2E-3
1.716E9,30.54E-3,-1.515,-6.557,17.32,-282.5E-3
1.727E9,-143.0E-3,-1.474,-6.622,17.47,-293.9E-3
1.738E9,-318.6E-3,-1.433,-6.687,17.63,-305.3E-3
1.749E9,-493.4E-3,-1.393,-6.752,17.78,-316.8E-3
1.760E9,-666.3E-3,-1.356,-6.818,17.94,-328.3E-3
1.771E9,-840.7E-3,-1.319,-6.884,18.09,-339.9E-3
1.782E9,-1.014,-1.283,-6.951,18.24,-351.5E-3
1.793E9,-1.187,-1.249,-7.018,18.40,-363.2E-3
1.804E9,-1.360,-1.215,-7.085,18.55,-374.9E-3
1.815E9,-1.533,-1.183,-7.153,18.70,-386.6E-3
1.826E9,-1.704,-1.152,-7.221,18.86,-398.4E-3
1.837E9,-1.876,-1.121,-7.290,19.01,-410.3E-3
1.848E9,-2.048,-1.091,-7.359,19.16,-422.2E-3
1.859E9,-2.218,-1.063,-7.428,19.31,-434.1E-3
1.870E9,-2.389,-1.035,-7.498,19.46,-446.1E-3
1.881E9,-2.562,-1.008,-7.568,19.62,-458.1E-3
1.892E9,-2.729,-982.6E-3,-7.639,19.77,-470.2E-3
1.903E9,-2.900,-957.0E-3,-7.710,19.92,-482.3E-3
1.914E9,-3.071,-932.1E-3,-7.781,20.07,-494.5E-3
1.925E9,-3.237,-908.9E-3,-7.853,20.22,-506.7E-3
1.936E9,-3.409,-885.2E-3,-7.926,20.37,-518.9E-3
1.947E9,-3.577,-862.7E-3,-7.999,20.52,-531.2E-3
1.958E9,-3.743,-841.4E-3,-8.072,20.67,-543.5E-3
1.969E9,-3.911,-820.1E-3,-8.145,20.82,-555.9E-3
1.980E9,-4.080,-799.4E-3,-8.219,20.97,-568.3E-3
1.991E9,-4.246,-779.5E-3,-8.294,21.12,-580.7E-3
2.002E9,-4.413,-760.1E-3,-8.369,21.26,-593.2E-3
2.013E9,-4.581,-741.1E-3,-8.444,21.41,-605.7E-3
2.024E9,-4.746,-722.8E-3,-8.520,21.56,-618.3E-3
2.035E9,-4.913,-705.0E-3,-8.596,21.71,-630.9E-3
2.046E9,-5.079,-687.5E-3,-8.673,21.86,-643.5E-3
2.057E9,-5.246,-670.5E-3,-8.750,22.01,-656.2E-3
2.068E9,-5.410,-654.3E-3,-8.827,22.15,-668.9E-3
2.079E9,-5.575,-638.2E-3,-8.905,22.30,-681.6E-3
2.090E9,-5.739,-622.9E-3,-8.983,22.45,-694.4E-3
2.101E9,-5.904,-607.7E-3,-9.062,22.59,-707.2E-3
2.112E9,-6.067,-593.1E-3,-9.141,22.74,-720.1E-3
2.123E9,-6.232,-578.8E-3,-9.221,22.88,-733.0E-3
2.134E9,-6.396,-564.8E-3,-9.301,23.03,-745.9E-3
2.145E9,-6.560,-551.1E-3,-9.381,23.18,-758.8E-3
2.156E9,-6.723,-538.0E-3,-9.462,23.32,-771.8E-3
2.167E9,-6.885,-525.3E-3,-9.544,23.47,-784.8E-3
2.178E9,-7.047,-512.8E-3,-9.625,23.61,-797.9E-3
2.189E9,-7.211,-500.5E-3,-9.708,23.76,-811.0E-3
2.200E9,-7.372,-488.8E-3,-9.790,23.90,-824.1E-3
